x,v
8.929155,142.373415
9.663472,81.346866
9.985790,16.852124
9.882368,-48.361101
9.357616,-111.512469
8.433905,-169.909548
7.150617,-221.062599
5.562466,-262.790734
3.737162,-293.314888
1.752525,-311.333678
-0.306830,-316.078879
-2.353104,-307.348181
-4.299054,-285.513815
-6.061715,-251.506679
-7.565938,-206.776654
-8.747590,-153.230789
-9.556292,-93.151989
-9.957565,-29.101690
-9.934301,36.189348
-9.487492,99.937467
-8.636188,159.424791
-7.416683,212.115102
-5.880971,255.761970
-4.094526,288.504526
-2.133512,308.946805
-0.081537,316.217258
1.973914,310.005913
3.945208,290.577588
5.748300,258.760602
7.306315,215.911459
8.552829,163.857016
9.434696,104.816593
9.914318,41.307356
9.971248,-23.963003
9.603057,-88.211710
8.825443,-148.699545
7.671561,-202.847633
6.190604,-248.347392
4.445713,-283.258958
2.511281,-306.093890
0.469782,-315.878628
-1.591746,-312.196006
-3.585411,-295.203030
-5.426214,-265.624188
-7.035671,-224.720564
-8.345166,-174.236067
-9.298868,-116.323083
-9.856116,-53.450711
-9.993153,11.700511
-9.704135,76.352887
-9.001386,137.749987
-7.914866,193.274171
-6.490898,240.558187
-4.790194,277.586099
-2.885262,302.779236
-0.857318,315.063500
1.207178,313.915156
3.220206,299.383162
5.095942,272.087085
6.754414,233.190682
8.124915,184.352285
9.149013,127.654102
9.783046,65.513436
9.999983,0.579631
9.790575,-64.378887
9.163750,-126.592636
8.146231,-183.409158
6.781402,-232.406103
5.127449,-271.494504
3.254890,-299.007845
1.243561,-313.773103
-0.820788,-315.160769
-2.850143,-303.111679
-4.757983,-278.139541
-6.462968,-241.309034
-7.892407,-194.190411
-8.985356,-138.792556
-9.695219,-77.477335
-9.991729,-12.858899
-9.862246,52.307772
-9.312290,115.244322
-8.365308,173.267475
-7.061675,223.903437
-5.456970,264.993365
-3.619609,294.785404
-1.627927,312.009384
0.433160,315.930966
2.475780,306.382956
4.412846,283.772429
6.161772,249.063376
7.647994,203.735604
8.808146,149.721644
9.592766,89.324361
9.968403,25.118769
9.919040,-40.157752
9.446783,-103.722163
8.571767,-162.864420
7.331296,-215.063017
5.778259,-258.092486
3.978867,-290.118284
2.009838,-309.775003
-0.044879,-316.224587
-2.097683,-309.192059
-4.061053,-288.977250
-5.851282,-256.442009
-7.392043,-212.973464
-8.617648,-160.424879
-9.475843,-101.036642
-9.930039,-37.340748
-9.960871,27.947154
-9.567026,92.043541
-8.765295,152.215687
