n,fun,fft_val,inv_fft
59,-8.190940e-01,-3.060709e-02,-8.837137e-01
60,-8.364409e-01,-1.825648e-01,-8.514646e-01
61,-7.792320e-01,-2.041360e-01,-8.158552e-01
62,-6.491840e-01,-5.405170e-01,-7.770260e-01
63,-6.161926e-01,1.149649e-02,-7.351303e-01
64,-5.781821e-01,-5.411320e-01,-6.903333e-01
65,-6.040908e-01,7.341399e-01,-6.428118e-01
66,-5.203152e-01,-2.117405e-01,-5.927535e-01
67,-4.889259e-01,-2.115107e-01,-5.403559e-01
68,-3.867226e-01,-1.725844e-01,-4.858257e-01
69,-3.617124e-01,-3.636331e-01,-4.293782e-01
70,-2.846591e-01,-1.654342e-01,-3.712361e-01
71,-2.425662e-01,2.350613e-01,-3.116290e-01
72,-2.437798e-01,-1.441953e-01,-2.507919e-01
73,-1.326766e-01,-2.204236e-01,-1.889652e-01
74,-8.853852e-03,-2.884972e-01,-1.263926e-01
75,5.356070e-02,2.088880e-02,-6.332126e-02
76,9.011904e-02,1.952508e-01,0.000000e+00
77,9.832720e-02,1.467669e-01,6.332126e-02
78,2.176500e-01,4.063539e-02,1.263926e-01
79,2.673787e-01,-3.197981e-01,1.889652e-01
80,2.929460e-01,-3.251614e-01,2.507919e-01
81,3.949997e-01,7.081608e-01,3.116290e-01
82,3.888713e-01,1.961290e-03,3.712361e-01
83,4.807924e-01,2.135187e-01,4.293782e-01
84,5.917631e-01,-5.903161e-01,4.858257e-01
85,6.394769e-01,-1.604272e-01,5.403559e-01
86,6.290774e-01,-6.049601e-02,5.927535e-01
87,6.660450e-01,-2.510581e-01,6.428118e-01
88,7.962187e-01,4.258624e-01,6.903333e-01
89,7.727637e-01,-6.468465e-01,7.351303e-01
90,8.563470e-01,6.538868e-01,7.770260e-01
91,9.285755e-01,1.954169e-02,8.158552e-01
92,9.179079e-01,-2.254461e-01,8.514646e-01
93,9.584697e-01,-1.403593e-01,8.837137e-01
94,1.012162e+00,-9.208786e-02,9.124751e-01
95,9.847215e-01,1.338525e-01,9.376354e-01
96,1.066553e+00,-5.004654e-02,9.590953e-01
97,1.018388e+00,8.484261e-01,9.767701e-01
98,1.084133e+00,1.655813e-01,9.905901e-01
99,1.077642e+00,-1.225968e-01,1.000501e+00
