alg,x,y
cspline,75.000000,6.409717
cspline,80.000000,8.000000
cspline,85.000000,8.306281
cspline,90.000000,7.496914
cspline,95.000000,5.939091
cspline,100.000000,4.000000
cspline,105.000000,2.050350
cspline,110.000000,0.474929
cspline,115.000000,-0.337957
cspline,120.000000,0.000000
cspline,125.000000,1.664194
cspline,130.000000,3.978370
cspline,135.000000,6.053361
cspline,140.000000,7.000000
cspline,145.000000,6.214750
cspline,150.000000,4.236592
cspline,155.000000,1.890138
cspline,160.000000,0.000000
cspline,165.000000,-0.788817
cspline,170.000000,-0.549736
cspline,175.000000,0.464213
cspline,180.000000,2.000000
cspline,185.000000,3.799894
cspline,190.000000,5.587353
cspline,195.000000,7.081136
cspline,200.000000,8.000000
cspline,205.000000,8.151743
cspline,210.000000,7.700324
cspline,215.000000,6.898743
cspline,220.000000,6.000000
cspline,225.000000,5.202510
cspline,230.000000,4.486351
cspline,235.000000,3.777017
cspline,240.000000,3.000000
cspline,245.000000,2.131967
cspline,250.000000,1.354272
cspline,255.000000,0.899441
cspline,260.000000,1.000000
cspline,265.000000,1.800872
cspline,270.000000,3.096562
cspline,275.000000,4.593971
cspline,280.000000,6.000000
cspline,285.000000,7.086419
cspline,290.000000,7.884479
cspline,295.000000,8.490300
cspline,300.000000,9.000000
akima,20.000000,2.000000
akima,25.000000,3.813616
akima,30.000000,5.044643
akima,35.000000,5.753348
akima,40.000000,6.000000
akima,45.000000,5.220089
akima,50.000000,3.467857
akima,55.000000,1.731696
akima,60.000000,1.000000
akima,65.000000,2.337500
akima,70.000000,5.050000
akima,75.000000,7.487500
akima,80.000000,8.000000
akima,85.000000,7.000000
akima,90.000000,6.000000
akima,95.000000,5.000000
akima,100.000000,4.000000
akima,105.000000,3.000000
akima,110.000000,2.000000
akima,115.000000,1.000000
akima,120.000000,0.000000
akima,125.000000,0.564062
akima,130.000000,3.087500
akima,135.000000,5.817187
akima,140.000000,7.000000
akima,145.000000,5.807813
akima,150.000000,3.412500
akima,155.000000,1.060938
akima,160.000000,0.000000
akima,165.000000,0.119485
akima,170.000000,0.485294
akima,175.000000,1.108456
akima,180.000000,2.000000
akima,185.000000,3.535294
akima,190.000000,5.564706
akima,195.000000,7.311765
akima,200.000000,8.000000
akima,205.000000,7.766667
akima,210.000000,7.311111
akima,215.000000,6.700000
akima,220.000000,6.000000
akima,225.000000,5.259766
akima,230.000000,4.498264
akima,235.000000,3.737630
akima,240.000000,3.000000
akima,245.000000,2.267578
akima,250.000000,1.598958
akima,255.000000,1.130859
akima,260.000000,1.000000
akima,265.000000,1.666667
akima,270.000000,3.111111
akima,275.000000,4.750000
akima,280.000000,6.000000
akima,285.000000,6.859375
akima,290.000000,7.680556
akima,295.000000,8.411458
akima,300.000000,9.000000
lagrange,20.000000,2.000000
lagrange,25.000000,-320.326431
lagrange,30.000000,-234.368780
lagrange,35.000000,-88.225283
